time,from,to,amount,priority
2023-01-01 06:00:01,0,1,20,1
2023-01-01 06:00:13,0,1,16,1
2023-01-01 06:00:18,0,1,14,1
2023-01-01 06:00:26,0,1,20,1
2023-01-01 06:00:37,0,1,20,1
2023-01-01 06:00:43,0,1,20,1
2023-01-01 06:01:06,0,1,20,1
2023-01-01 06:01:12,0,1,5,1
2023-01-01 06:01:29,0,1,20,0
2023-01-01 06:01:49,0,1,16,1
2023-01-01 06:02:03,0,1,20,1
2023-01-01 06:02:03,0,1,18,1
2023-01-01 06:02:08,0,1,20,1
2023-01-01 06:02:24,0,1,20,1
2023-01-01 06:02:24,0,1,20,1
2023-01-01 06:02:39,0,1,20,1
2023-01-01 06:02:44,0,1,20,1
2023-01-01 06:03:01,0,1,20,1
2023-01-01 06:03:11,0,1,20,1
2023-01-01 06:03:22,0,1,9,1
2023-01-01 06:03:26,0,1,19,1
2023-01-01 06:03:38,0,1,20,1
2023-01-01 06:03:40,0,1,5,1
2023-01-01 06:03:43,0,1,20,1
2023-01-01 06:04:07,0,1,20,1
2023-01-01 06:04:13,0,1,20,1
2023-01-01 06:04:49,0,1,20,1
2023-01-01 06:04:49,0,1,20,1
2023-01-01 06:05:06,0,1,17,1
2023-01-01 06:05:35,0,1,20,1
2023-01-01 06:05:39,0,1,8,1
2023-01-01 06:05:45,0,1,20,1
2023-01-01 06:05:52,0,1,20,1
2023-01-01 06:05:55,0,1,11,1
2023-01-01 06:06:01,0,1,20,1
2023-01-01 06:06:16,0,1,5,0
2023-01-01 06:06:20,0,1,20,1
2023-01-01 06:06:53,0,1,8,1
2023-01-01 06:06:59,0,1,10,1
2023-01-01 06:06:59,0,1,20,1
2023-01-01 06:07:14,0,1,12,0
2023-01-01 06:07:33,0,1,20,1
2023-01-01 06:07:34,0,1,20,0
2023-01-01 06:07:45,0,1,20,1
2023-01-01 06:07:46,0,1,20,1
2023-01-01 06:08:07,0,1,19,1
2023-01-01 06:08:20,0,1,13,1
2023-01-01 06:08:45,0,1,20,0
2023-01-01 06:08:52,0,1,17,1
2023-01-01 06:09:04,0,1,20,1
2023-01-01 06:09:05,0,1,5,1
2023-01-01 06:09:11,0,1,20,1
2023-01-01 06:09:12,0,1,20,1
2023-01-01 06:09:21,0,1,6,1
2023-01-01 06:09:28,0,1,20,1
2023-01-01 06:09:35,0,1,20,1
2023-01-01 06:09:41,0,1,20,1
2023-01-01 06:09:55,0,1,20,1
2023-01-01 06:10:00,0,1,18,1
2023-01-01 06:10:04,0,1,20,0
2023-01-01 06:10:09,0,1,20,0
2023-01-01 06:10:54,0,1,6,1
2023-01-01 06:11:04,0,1,5,1
2023-01-01 06:11:08,0,1,20,1
2023-01-01 06:11:08,0,1,20,0
2023-01-01 06:11:13,0,1,6,1
2023-01-01 06:11:14,0,1,20,1
2023-01-01 06:11:21,0,1,20,1
2023-01-01 06:11:45,0,1,20,1
2023-01-01 06:12:09,0,1,20,0
2023-01-01 06:12:24,0,1,20,1
2023-01-01 06:12:35,0,1,20,1
2023-01-01 06:12:50,0,1,7,1
2023-01-01 06:12:53,0,1,20,1
2023-01-01 06:12:57,0,1,5,1
2023-01-01 06:13:08,0,1,5,1
2023-01-01 06:13:16,0,1,7,0
2023-01-01 06:13:22,0,1,20,1
2023-01-01 06:13:23,0,1,20,1
2023-01-01 06:13:24,0,1,16,0
2023-01-01 06:13:32,0,1,20,1
2023-01-01 06:13:44,0,1,5,1
2023-01-01 06:13:59,0,1,5,0
2023-01-01 06:14:05,0,1,20,1
2023-01-01 06:14:15,0,1,13,1
2023-01-01 06:14:39,0,1,16,1
2023-01-01 06:15:04,0,1,17,1
2023-01-01 06:15:32,0,1,20,1
2023-01-01 06:15:32,0,1,14,1
2023-01-01 06:15:44,0,1,5,1
2023-01-01 06:15:49,0,1,20,1
2023-01-01 06:15:50,0,1,20,1
2023-01-01 06:16:01,0,1,20,0
2023-01-01 06:16:22,0,1,17,1
2023-01-01 06:16:28,0,1,15,1
2023-01-01 06:16:32,0,1,20,1
2023-01-01 06:16:38,0,1,20,1
2023-01-01 06:16:45,0,1,20,1
2023-01-01 06:16:49,0,1,20,1
2023-01-01 06:16:56,0,1,20,1
2023-01-01 06:16:57,0,1,20,1
2023-01-01 06:16:58,0,1,20,1
2023-01-01 06:16:59,0,1,13,1
2023-01-01 06:17:05,0,1,20,1
2023-01-01 06:17:06,0,1,20,0
2023-01-01 06:17:48,0,1,20,1
2023-01-01 06:18:10,0,1,10,1
2023-01-01 06:18:16,0,1,5,1
2023-01-01 06:18:22,0,1,14,1
2023-01-01 06:18:32,0,1,20,0
2023-01-01 06:18:39,0,1,20,0
2023-01-01 06:18:40,0,1,20,1
2023-01-01 06:18:47,0,1,10,1
2023-01-01 06:18:49,0,1,20,0
2023-01-01 06:18:54,0,1,20,1
2023-01-01 06:18:56,0,1,5,1
2023-01-01 06:19:26,0,1,5,1
2023-01-01 06:19:39,0,1,20,1
2023-01-01 06:19:48,0,1,5,1
2023-01-01 06:19:52,0,1,5,1
2023-01-01 06:20:34,0,1,20,1
2023-01-01 06:20:42,0,1,20,1
2023-01-01 06:21:11,0,1,20,1
2023-01-01 06:21:24,0,1,17,1
2023-01-01 06:21:26,0,1,20,1
2023-01-01 06:21:36,0,1,20,1
2023-01-01 06:21:37,0,1,20,1
2023-01-01 06:21:41,0,1,20,1
2023-01-01 06:21:52,0,1,5,1
2023-01-01 06:21:59,0,1,20,1
2023-01-01 06:22:03,0,1,20,1
2023-01-01 06:22:09,0,1,19,1
2023-01-01 06:22:11,0,1,5,0
2023-01-01 06:22:14,0,1,20,1
2023-01-01 06:22:16,0,1,20,0
2023-01-01 06:22:23,0,1,20,1
2023-01-01 06:22:28,0,1,20,0
2023-01-01 06:22:42,0,1,20,0
2023-01-01 06:22:52,0,1,20,0
2023-01-01 06:23:21,0,1,20,1
2023-01-01 06:23:29,0,1,20,1
2023-01-01 06:23:49,0,1,18,1
2023-01-01 06:23:59,0,1,20,1
2023-01-01 06:24:13,0,1,20,0
2023-01-01 06:24:36,0,1,20,1
2023-01-01 06:24:40,0,1,20,1
2023-01-01 06:24:45,0,1,20,1
2023-01-01 06:24:46,0,1,17,1
2023-01-01 06:24:50,0,1,5,1
2023-01-01 06:25:10,0,1,20,1
2023-01-01 06:25:17,0,1,20,1
2023-01-01 06:25:30,0,1,20,1
2023-01-01 06:25:39,0,1,20,1
2023-01-01 06:25:50,0,1,20,1
2023-01-01 06:26:00,0,1,5,1
2023-01-01 06:26:03,0,1,20,1
2023-01-01 06:26:21,0,1,20,1
2023-01-01 06:26:26,0,1,10,1
2023-01-01 06:26:35,0,1,20,1
2023-01-01 06:27:04,0,1,20,1
2023-01-01 06:27:22,0,1,15,1
2023-01-01 06:27:53,0,1,20,1
2023-01-01 06:28:15,0,1,20,0
2023-01-01 06:28:22,0,1,5,1
2023-01-01 06:28:43,0,1,16,0
2023-01-01 06:29:01,0,1,20,1
2023-01-01 06:29:03,0,1,5,1
2023-01-01 06:29:04,0,1,20,0
2023-01-01 06:29:39,0,1,13,1
2023-01-01 06:29:42,0,1,20,0
2023-01-01 06:29:48,0,1,9,1
2023-01-01 06:30:06,0,1,20,1
2023-01-01 06:30:15,0,1,14,1
2023-01-01 06:30:32,0,1,5,1
2023-01-01 06:30:35,0,1,20,1
2023-01-01 06:30:59,0,1,20,1
2023-01-01 06:31:16,0,1,20,1
2023-01-01 06:31:48,0,1,20,1
2023-01-01 06:32:03,0,1,15,0
2023-01-01 06:32:11,0,1,13,0
2023-01-01 06:32:12,0,1,5,1
2023-01-01 06:32:18,0,1,18,1
2023-01-01 06:32:23,0,1,5,1
2023-01-01 06:32:39,0,1,20,0
2023-01-01 06:32:45,0,1,19,1
2023-01-01 06:32:54,0,1,20,0
2023-01-01 06:33:02,0,1,5,1
2023-01-01 06:33:13,0,1,8,1
2023-01-01 06:33:17,0,1,20,0
2023-01-01 06:33:24,0,1,6,1
2023-01-01 06:33:42,0,1,20,1
2023-01-01 06:33:53,0,1,20,1
2023-01-01 06:33:59,0,1,20,1
2023-01-01 06:34:09,0,1,20,1
2023-01-01 06:34:17,0,1,5,1
2023-01-01 06:34:18,0,1,20,1
2023-01-01 06:34:37,0,1,20,1
2023-01-01 06:34:43,0,1,20,1
2023-01-01 06:34:45,0,1,20,1
2023-01-01 06:34:50,0,1,20,0
2023-01-01 06:34:52,0,1,20,1
2023-01-01 06:34:53,0,1,5,1
2023-01-01 06:35:05,0,1,20,1
2023-01-01 06:35:09,0,1,20,0
2023-01-01 06:35:18,0,1,6,1
2023-01-01 06:35:19,0,1,5,1
2023-01-01 06:35:24,0,1,20,1
2023-01-01 06:35:24,0,1,8,1
2023-01-01 06:35:39,0,1,20,0
2023-01-01 06:35:57,0,1,20,1
2023-01-01 06:36:00,0,1,20,0
2023-01-01 06:36:05,0,1,18,0
2023-01-01 06:36:25,0,1,16,1
2023-01-01 06:37:10,0,1,20,1
2023-01-01 06:37:24,0,1,20,1
2023-01-01 06:37:58,0,1,5,1
2023-01-01 06:38:05,0,1,12,1
2023-01-01 06:38:16,0,1,20,1
2023-01-01 06:38:44,0,1,20,1
2023-01-01 06:38:48,0,1,8,1
2023-01-01 06:38:48,0,1,20,1
2023-01-01 06:38:58,0,1,5,1
2023-01-01 06:39:05,0,1,20,0
2023-01-01 06:39:18,0,1,20,1
2023-01-01 06:39:34,0,1,20,1
2023-01-01 06:39:42,0,1,20,1
2023-01-01 06:39:44,0,1,20,1
2023-01-01 06:39:58,0,1,20,1
2023-01-01 06:40:05,0,1,20,0
2023-01-01 06:40:13,0,1,20,1
2023-01-01 06:40:37,0,1,15,0
2023-01-01 06:41:08,0,1,20,1
2023-01-01 06:41:08,0,1,20,1
2023-01-01 06:41:17,0,1,20,0
2023-01-01 06:41:35,0,1,20,0
2023-01-01 06:41:43,0,1,17,1
2023-01-01 06:41:49,0,1,19,1
2023-01-01 06:41:50,0,1,20,1
2023-01-01 06:42:10,0,1,20,0
2023-01-01 06:42:24,0,1,20,1
2023-01-01 06:42:28,0,1,5,1
2023-01-01 06:42:47,0,1,20,1
2023-01-01 06:42:53,0,1,5,0
2023-01-01 06:42:57,0,1,20,1
2023-01-01 06:43:15,0,1,20,1
2023-01-01 06:43:21,0,1,20,1
2023-01-01 06:43:32,0,1,20,0
2023-01-01 06:43:40,0,1,8,0
2023-01-01 06:43:58,0,1,6,1
2023-01-01 06:43:59,0,1,20,1
2023-01-01 06:44:05,0,1,20,1
2023-01-01 06:44:33,0,1,20,0
2023-01-01 06:44:35,0,1,20,1
2023-01-01 06:44:59,0,1,20,1
2023-01-01 06:45:24,0,1,20,1
2023-01-01 06:45:43,0,1,20,1
2023-01-01 06:46:08,0,1,20,1
2023-01-01 06:46:16,0,1,20,1
2023-01-01 06:46:33,0,1,20,1
2023-01-01 06:46:57,0,1,20,0
2023-01-01 06:47:05,0,1,20,1
2023-01-01 06:48:00,0,1,20,1
2023-01-01 06:48:05,0,1,20,0
2023-01-01 06:48:22,0,1,16,0
2023-01-01 06:48:23,0,1,5,0
2023-01-01 06:49:05,0,1,20,1
2023-01-01 06:49:13,0,1,20,1
2023-01-01 06:49:39,0,1,20,1
2023-01-01 06:49:50,0,1,20,1
2023-01-01 06:50:03,0,1,19,1
2023-01-01 06:50:12,0,1,20,1
2023-01-01 06:50:28,0,1,20,1
2023-01-01 06:50:57,0,1,20,1
2023-01-01 06:50:58,0,1,5,1
2023-01-01 06:51:09,0,1,14,1
2023-01-01 06:51:09,0,1,20,1
2023-01-01 06:51:14,0,1,20,0
2023-01-01 06:51:15,0,1,20,1
2023-01-01 06:51:22,0,1,13,0
2023-01-01 06:51:36,0,1,15,1
2023-01-01 06:51:44,0,1,20,1
2023-01-01 06:52:07,0,1,17,1
2023-01-01 06:52:09,0,1,14,0
2023-01-01 06:52:27,0,1,20,1
2023-01-01 06:52:34,0,1,9,1
2023-01-01 06:52:54,0,1,20,0
2023-01-01 06:53:03,0,1,20,1
2023-01-01 06:53:06,0,1,5,1
2023-01-01 06:53:35,0,1,6,1
2023-01-01 06:53:39,0,1,5,1
2023-01-01 06:53:45,0,1,20,1
2023-01-01 06:53:53,0,1,18,1
2023-01-01 06:54:02,0,1,20,1
2023-01-01 06:54:05,0,1,20,1
2023-01-01 06:54:15,0,1,20,1
2023-01-01 06:54:17,0,1,20,1
2023-01-01 06:54:49,0,1,20,1
2023-01-01 06:54:53,0,1,20,0
2023-01-01 06:55:04,0,1,20,1
2023-01-01 06:55:47,0,1,20,1
2023-01-01 06:55:52,0,1,9,1
2023-01-01 06:56:50,0,1,20,1
2023-01-01 06:57:30,0,1,13,1
2023-01-01 06:57:34,0,1,20,1
2023-01-01 06:57:59,0,1,20,1
2023-01-01 06:58:21,0,1,20,1
2023-01-01 06:58:34,0,1,20,1
2023-01-01 06:58:39,0,1,20,1
2023-01-01 06:58:57,0,1,20,1
2023-01-01 06:58:58,0,1,5,1
2023-01-01 06:59:19,0,1,20,1
2023-01-01 06:59:26,0,1,20,0
2023-01-01 06:59:31,0,1,20,0
2023-01-01 06:59:39,0,1,20,1
2023-01-01 06:59:46,0,1,20,1
2023-01-01 07:00:19,0,1,12,1
2023-01-01 07:00:22,0,1,20,0
2023-01-01 07:00:33,0,1,20,1
2023-01-01 07:00:39,0,1,20,1
2023-01-01 07:00:53,0,1,20,1
2023-01-01 07:01:06,0,1,11,1
2023-01-01 07:01:12,0,1,20,0
2023-01-01 07:01:33,0,1,20,1
2023-01-01 07:02:02,0,1,9,0
2023-01-01 07:02:06,0,1,20,1
2023-01-01 07:02:27,0,1,20,1
2023-01-01 07:02:29,0,1,20,1
2023-01-01 07:03:05,0,1,10,0
2023-01-01 07:03:26,0,1,5,1
2023-01-01 07:03:42,0,1,20,1
2023-01-01 07:03:42,0,1,20,0
2023-01-01 07:03:44,0,1,20,0
2023-01-01 07:03:44,0,1,5,1
2023-01-01 07:03:51,0,1,20,1
2023-01-01 07:04:03,0,1,20,1
2023-01-01 07:04:12,0,1,20,1
2023-01-01 07:04:18,0,1,20,1
2023-01-01 07:04:23,0,1,5,1
2023-01-01 07:04:48,0,1,14,1
2023-01-01 07:04:55,0,1,5,1
2023-01-01 07:04:56,0,1,16,1
2023-01-01 07:05:08,0,1,16,1
2023-01-01 07:05:11,0,1,20,0
2023-01-01 07:05:14,0,1,20,1
2023-01-01 07:05:15,0,1,20,1
2023-01-01 07:05:15,0,1,20,1
2023-01-01 07:05:39,0,1,20,1
2023-01-01 07:05:41,0,1,20,1
2023-01-01 07:05:56,0,1,16,1
2023-01-01 07:05:57,0,1,6,1
2023-01-01 07:06:01,0,1,7,1
2023-01-01 07:06:10,0,1,20,1
2023-01-01 07:06:10,0,1,20,1
2023-01-01 07:06:36,0,1,16,1
2023-01-01 07:06:42,0,1,20,1
2023-01-01 07:06:50,0,1,20,1
2023-01-01 07:07:12,0,1,20,1
2023-01-01 07:07:23,0,1,11,0
2023-01-01 07:07:24,0,1,20,1
2023-01-01 07:07:41,0,1,20,0
2023-01-01 07:08:06,0,1,13,0
2023-01-01 07:08:42,0,1,20,1
2023-01-01 07:08:44,0,1,20,1
2023-01-01 07:08:49,0,1,20,1
2023-01-01 07:09:04,0,1,20,1
2023-01-01 07:09:27,0,1,20,0
2023-01-01 07:09:37,0,1,5,1
2023-01-01 07:09:45,0,1,11,1
2023-01-01 07:10:11,0,1,20,1
2023-01-01 07:10:25,0,1,20,1
2023-01-01 07:10:25,0,1,16,1
2023-01-01 07:10:56,0,1,20,0
2023-01-01 07:11:28,0,1,20,1
2023-01-01 07:11:43,0,1,20,1
2023-01-01 07:11:46,0,1,20,1
2023-01-01 07:11:53,0,1,20,1
2023-01-01 07:11:59,0,1,5,1
2023-01-01 07:12:01,0,1,20,1
2023-01-01 07:12:01,0,1,6,1
2023-01-01 07:12:06,0,1,5,1
2023-01-01 07:12:26,0,1,20,1
2023-01-01 07:13:08,0,1,5,1
2023-01-01 07:13:11,0,1,20,1
2023-01-01 07:13:13,0,1,20,1
2023-01-01 07:13:39,0,1,20,0
2023-01-01 07:13:48,0,1,6,1
2023-01-01 07:14:02,0,1,20,1
2023-01-01 07:14:34,0,1,7,1
2023-01-01 07:14:38,0,1,20,1
2023-01-01 07:14:42,0,1,5,1
2023-01-01 07:15:25,0,1,20,1
2023-01-01 07:15:55,0,1,20,1
2023-01-01 07:16:12,0,1,20,1
2023-01-01 07:17:09,0,1,18,1
2023-01-01 07:17:17,0,1,20,1
2023-01-01 07:17:25,0,1,20,0
2023-01-01 07:17:30,0,1,20,0
2023-01-01 07:17:34,0,1,20,1
2023-01-01 07:18:21,0,1,20,1
2023-01-01 07:18:30,0,1,20,1
2023-01-01 07:18:38,0,1,20,1
2023-01-01 07:18:50,0,1,20,1
2023-01-01 07:18:53,0,1,15,1
2023-01-01 07:19:35,0,1,14,1
2023-01-01 07:19:39,0,1,5,1
2023-01-01 07:19:52,0,1,20,0
2023-01-01 07:19:56,0,1,7,0
2023-01-01 07:20:09,0,1,5,1
2023-01-01 07:20:16,0,1,20,1
2023-01-01 07:20:17,0,1,20,0
2023-01-01 07:21:03,0,1,16,1
2023-01-01 07:21:21,0,1,20,1
2023-01-01 07:21:23,0,1,20,1
2023-01-01 07:21:38,0,1,13,1
2023-01-01 07:21:39,0,1,20,1
2023-01-01 07:21:49,0,1,20,1
2023-01-01 07:21:55,0,1,20,0
2023-01-01 07:21:57,0,1,20,1
2023-01-01 07:22:01,0,1,20,1
2023-01-01 07:22:08,0,1,20,1
2023-01-01 07:22:36,0,1,20,0
2023-01-01 07:22:49,0,1,20,0
2023-01-01 07:22:52,0,1,9,0
2023-01-01 07:22:54,0,1,5,1
2023-01-01 07:23:07,0,1,20,1
2023-01-01 07:24:10,0,1,20,1
2023-01-01 07:24:18,0,1,18,0
2023-01-01 07:24:21,0,1,20,1
2023-01-01 07:24:28,0,1,20,1
2023-01-01 07:24:35,0,1,13,1
2023-01-01 07:24:36,0,1,20,1
2023-01-01 07:24:54,0,1,5,1
2023-01-01 07:24:59,0,1,20,1
2023-01-01 07:25:09,0,1,20,1
2023-01-01 07:25:22,0,1,16,0
2023-01-01 07:25:28,0,1,10,1
2023-01-01 07:25:31,0,1,20,1
2023-01-01 07:25:58,0,1,20,1
2023-01-01 07:26:00,0,1,5,1
2023-01-01 07:27:09,0,1,20,1
2023-01-01 07:27:10,0,1,20,1
2023-01-01 07:27:12,0,1,20,1
2023-01-01 07:27:16,0,1,18,0
2023-01-01 07:27:21,0,1,16,1
2023-01-01 07:27:31,0,1,20,1
2023-01-01 07:27:59,0,1,20,1
2023-01-01 07:28:12,0,1,17,1
2023-01-01 07:28:33,0,1,5,1
2023-01-01 07:29:09,0,1,20,1
2023-01-01 07:29:16,0,1,5,0
2023-01-01 07:29:53,0,1,20,1
2023-01-01 07:29:56,0,1,20,1
2023-01-01 07:30:20,0,1,20,1
2023-01-01 07:30:21,0,1,20,1
2023-01-01 07:30:32,0,1,20,1
2023-01-01 07:30:44,0,1,5,1
2023-01-01 07:30:55,0,1,5,1
2023-01-01 07:30:56,0,1,5,1
2023-01-01 07:31:22,0,1,18,1
2023-01-01 07:31:33,0,1,20,1
2023-01-01 07:31:45,0,1,20,1
2023-01-01 07:31:56,0,1,5,1
2023-01-01 07:32:15,0,1,20,1
2023-01-01 07:32:21,0,1,5,1
2023-01-01 07:32:34,0,1,19,1
2023-01-01 07:32:45,0,1,20,1
2023-01-01 07:32:56,0,1,20,1
2023-01-01 07:32:59,0,1,20,1
2023-01-01 07:33:15,0,1,20,1
2023-01-01 07:33:20,0,1,20,1
2023-01-01 07:33:25,0,1,17,0
2023-01-01 07:33:34,0,1,9,0
2023-01-01 07:33:40,0,1,19,1
2023-01-01 07:33:48,0,1,15,0
2023-01-01 07:33:59,0,1,5,0
2023-01-01 07:34:03,0,1,20,1
2023-01-01 07:34:10,0,1,20,0
2023-01-01 07:34:21,0,1,20,1
2023-01-01 07:34:35,0,1,5,1
2023-01-01 07:34:57,0,1,20,1
2023-01-01 07:35:04,0,1,20,0
2023-01-01 07:35:05,0,1,6,1
2023-01-01 07:35:21,0,1,20,1
2023-01-01 07:35:23,0,1,8,0
2023-01-01 07:35:41,0,1,20,1
2023-01-01 07:35:49,0,1,20,1
2023-01-01 07:36:11,0,1,20,1
2023-01-01 07:36:18,0,1,20,1
2023-01-01 07:36:31,0,1,19,0
2023-01-01 07:36:59,0,1,20,1
2023-01-01 07:37:26,0,1,20,0
2023-01-01 07:37:38,0,1,20,0
2023-01-01 07:37:52,0,1,20,1
2023-01-01 07:38:38,0,1,15,1
2023-01-01 07:39:19,0,1,20,1
2023-01-01 07:39:29,0,1,20,1
2023-01-01 07:39:34,0,1,20,1
2023-01-01 07:39:37,0,1,18,1
2023-01-01 07:39:40,0,1,20,0
2023-01-01 07:39:43,0,1,14,0
2023-01-01 07:39:46,0,1,5,1
2023-01-01 07:40:15,0,1,20,1
2023-01-01 07:40:29,0,1,20,1
2023-01-01 07:40:49,0,1,20,1
2023-01-01 07:41:00,0,1,20,1
2023-01-01 07:41:00,0,1,20,1
2023-01-01 07:41:12,0,1,20,1
2023-01-01 07:41:33,0,1,20,1
2023-01-01 07:41:37,0,1,20,1
2023-01-01 07:41:40,0,1,20,0
2023-01-01 07:41:53,0,1,20,1
2023-01-01 07:42:02,0,1,20,1
2023-01-01 07:42:09,0,1,5,1
2023-01-01 07:42:42,0,1,5,1
2023-01-01 07:42:44,0,1,20,1
2023-01-01 07:42:46,0,1,20,1
2023-01-01 07:42:52,0,1,20,1
2023-01-01 07:42:55,0,1,20,1
2023-01-01 07:43:00,0,1,20,1
2023-01-01 07:43:02,0,1,20,1
2023-01-01 07:43:06,0,1,20,1
2023-01-01 07:43:10,0,1,20,0
2023-01-01 07:43:15,0,1,20,1
2023-01-01 07:43:37,0,1,13,1
2023-01-01 07:43:44,0,1,10,1
2023-01-01 07:43:48,0,1,5,1
2023-01-01 07:43:49,0,1,5,1
2023-01-01 07:44:06,0,1,5,1
2023-01-01 07:44:33,0,1,5,0
2023-01-01 07:44:40,0,1,20,1
2023-01-01 07:44:53,0,1,5,1
2023-01-01 07:45:00,0,1,10,1
2023-01-01 07:45:23,0,1,18,1
2023-01-01 07:45:37,0,1,20,1
2023-01-01 07:45:50,0,1,20,0
2023-01-01 07:46:02,0,1,20,1
2023-01-01 07:46:11,0,1,20,1
2023-01-01 07:46:15,0,1,20,1
2023-01-01 07:46:25,0,1,20,1
2023-01-01 07:46:27,0,1,5,1
2023-01-01 07:46:33,0,1,20,1
2023-01-01 07:46:43,0,1,20,0
2023-01-01 07:46:45,0,1,20,1
2023-01-01 07:47:09,0,1,20,1
2023-01-01 07:47:14,0,1,9,0
2023-01-01 07:47:28,0,1,20,1
2023-01-01 07:48:00,0,1,20,1
2023-01-01 07:48:03,0,1,20,1
2023-01-01 07:48:14,0,1,20,1
2023-01-01 07:48:16,0,1,20,1
2023-01-01 07:48:18,0,1,16,1
2023-01-01 07:48:27,0,1,20,1
2023-01-01 07:48:38,0,1,20,1
2023-01-01 07:48:57,0,1,10,1
2023-01-01 07:49:07,0,1,6,1
2023-01-01 07:49:10,0,1,20,1
2023-01-01 07:49:14,0,1,16,1
2023-01-01 07:49:31,0,1,20,1
2023-01-01 07:49:38,0,1,18,1
2023-01-01 07:49:43,0,1,5,1
2023-01-01 07:49:52,0,1,20,1
2023-01-01 07:49:52,0,1,20,0
2023-01-01 07:50:02,0,1,20,1
2023-01-01 07:50:06,0,1,20,1
2023-01-01 07:50:08,0,1,20,1
2023-01-01 07:50:21,0,1,20,1
2023-01-01 07:50:26,0,1,5,1
2023-01-01 07:50:27,0,1,14,1
2023-01-01 07:50:27,0,1,5,0
2023-01-01 07:50:36,0,1,20,0
2023-01-01 07:50:40,0,1,20,1
2023-01-01 07:50:43,0,1,20,1
